rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | fsize | role
----------------------------------------------------------------------------
50      | 0.26        | 437.417        | 441.5066    | 0.026       | 35328 | tfog_abells_u

37      | 0.26        | 318.993        | 325.2456    | 0.026       | 96325 | tfog_abells_u

42      | 0.26        | 357.094        | 360.3873    | 0.028       | 53248 | tfog_abells_u

57      | 0.26        | 658.169        | 668.5932    | 0.028       | 157457| tfog_abells_u

79      | 0.26        | 1924.871       | 1944.3829   | 0.03        | 293376| tfog_abells_u

45      | 0.26        | 1157.65        | 1187.8595   | 0.029       | 435200| tfog_abells_u

57      | 0.26        | 374.569        | 377.116     | 0.026       | 37807 | tfog_abells_u

54      | 0.26        | 407.593        | 409.8065    | 0.028       | 35328 | tfog_acoast_u
70      | 0.26        | 644.166        | 652.0679    | 0.026       | 96325 | tfog_acoast_u
64      | 0.26        | 575.635        | 578.9833    | 0.026       | 53248 | tfog_acoast_u
45      | 0.26        | 641.732        | 653.7108    | 0.033       | 157457| tfog_acoast_u
70      | 0.26        | 1747.764       | 1766.6068   | 0.032       | 293376| tfog_acoast_u
45      | 0.26        | 1149.165       | 1176.1882   | 0.031       | 435200| tfog_acoast_u
37      | 0.26        | 277.439        | 279.9478    | 0.026       | 37807 | tfog_acoast_u
7       | 0.26        | 136.119        | 140.2595    | 0.026       | 35328 | tfog_abells_u

6       | 0.26        | 59.816         | 66.1793     | 0.027       | 96325 | tfog_abells_u

5       | 0.26        | 80.395         | 83.6217     | 0.027       | 53248 | tfog_abells_u

3       | 0.26        | 43.262         | 53.232      | 0.027       | 157457| tfog_abells_u

7       | 0.26        | 202.67         | 222.5275    | 0.028       | 293376| tfog_abells_u

13      | 0.26        | 360.836        | 390.1317    | 0.03        | 435200| tfog_abells_u

6       | 0.26        | 63.731         | 66.2453     | 0.025       | 37807 | tfog_abells_u

6       | 0.26        | 60.358         | 62.7744     | 0.026       | 35328 | tfog_acoast_u
8       | 0.26        | 103.219        | 109.1907    | 0.027       | 96325 | tfog_acoast_u
8       | 0.26        | 73.697         | 76.8003     | 0.026       | 53248 | tfog_acoast_u
10      | 0.26        | 116.558        | 126.0951    | 0.027       | 157457| tfog_acoast_u
3       | 0.26        | 73.806         | 92.155      | 0.028       | 293376| tfog_acoast_u
4       | 0.26        | 102.134        | 129.1349    | 0.03        | 435200| tfog_acoast_u
6       | 0.26        | 73.911         | 76.74       | 0.026       | 37807 | tfog_acoast_u
10      | 0.26        | 184.505        | 188.6175    | 0.026       | 35328 | tfog_abells_u

6       | 0.26        | 61.251         | 67.5297     | 0.027       | 96325 | tfog_abells_u

6       | 0.26        | 55.995         | 59.1679     | 0.027       | 53248 | tfog_abells_u

6       | 0.26        | 75.266         | 85.1033     | 0.03        | 157457| tfog_abells_u

2       | 0.26        | 53.682         | 73.7672     | 0.031       | 293376| tfog_abells_u

6       | 0.26        | 156.048        | 185.2932    | 0.03        | 435200| tfog_abells_u

1       | 0.26        | 10.625         | 13.593      | 0.029       | 37807 | tfog_abells_u

3       | 0.26        | 41.758         | 44.024      | 0.026       | 35328 | tfog_acoast_u
10      | 0.26        | 92.248         | 98.0158     | 0.027       | 96325 | tfog_acoast_u
5       | 0.26        | 46.428         | 49.5186     | 0.026       | 53248 | tfog_acoast_u
2       | 0.26        | 26.61          | 35.9354     | 0.027       | 157457| tfog_acoast_u
7       | 0.26        | 166.43         | 183.0835    | 0.028       | 293376| tfog_acoast_u
10      | 0.26        | 253.882        | 284.2982    | 0.03        | 435200| tfog_acoast_u
6       | 0.26        | 78.361         | 80.9436     | 0.025       | 37807 | tfog_acoast_u
