rows    | tot_costs   | exec_time(ms)  | exec_time_cs| ncond | role        | av_data   
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
2       | 1647.16     | 76.381         | 8.5415      | 0     | tfog_abells_cbudget_sdraft_u|     517039
2       | 1647.16     | 12.873         | 1.7615      | 0     | tfog_abells_cbudget_sdraft_u|     517039
4       | 1647.16     | 13.157         | 1.7662      | 0     | tfog_abells_cbudget_sdraft_u|     517039
0       | 1647.16     | 12.844         | 1.7319      | 0     | tfog_abells_cbudget_sdraft_u|     517039
22      | 1647.16     | 12.746         | 1.7246      | 0     | tfog_abells_cbudget_sdraft_u|     517039
0       | 1647.16     | 12.902         | 1.7557      | 0     | tfog_abells_cbudget_sdraft_u|     517039
0       | 1647.16     | 9.099          | 1.3654      | 0     | tfog_abells_cbudget_sdraft_u|     517039
4       | 1647.16     | 9.661          | 1.4179      | 0     | tfog_abells_cbudget_sdraft_u|     517039
0       | 1647.16     | 9.439          | 1.3949      | 0     | tfog_abells_cbudget_sdraft_u|     517039
0       | 1647.16     | 9.196          | 1.3721      | 0     | tfog_abells_cbudget_sdraft_u|     517039
16      | 1647.16     | 9.911          | 1.4632      | 0     | tfog_abells_cbudget_sdraft_u|     517039
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 1829.3      | 17.546         | 2.2185      | 0     | tfog_acoast_cstatistics_stask_u|      37807
1       | 1829.3      | 9.984          | 1.4586      | 0     | tfog_acoast_cstatistics_stask_u|      37807
25      | 1829.3      | 9.99           | 1.4535      | 0     | tfog_acoast_cstatistics_stask_u|      37807
9       | 1829.3      | 10.448         | 1.5033      | 0     | tfog_acoast_cstatistics_stask_u|      37807
27      | 1829.3      | 9.793          | 1.4271      | 0     | tfog_acoast_cstatistics_stask_u|      37807
9       | 1829.3      | 9.889          | 1.4493      | 0     | tfog_acoast_cstatistics_stask_u|      37807
9       | 1829.3      | 10.106         | 1.5044      | 0     | tfog_acoast_cstatistics_stask_u|      37807
16      | 1829.3      | 10.63          | 1.5071      | 0     | tfog_acoast_cstatistics_stask_u|      37807
0       | 1829.3      | 10.075         | 1.4623      | 0     | tfog_acoast_cstatistics_stask_u|      37807
0       | 1829.3      | 9.978          | 1.4531      | 0     | tfog_acoast_cstatistics_stask_u|      37807
1       | 1829.3      | 10.633         | 1.5452      | 0     | tfog_acoast_cstatistics_stask_u|      37807
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 1829.3      | 10.107         | 1.486       | 0     | tfog_acoast_cstatistics_stask_u|      37807
1       | 1829.3      | 10.034         | 1.4888      | 0     | tfog_acoast_cstatistics_stask_u|      37807
