rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | fsize | role
----------------------------------------------------------------------------
41      | 0.26        | 564.807        | 569.5329    | 0.031       | 35328 | tfog_abells_cbudget_sdraft_u

41      | 0.26        | 548.348        | 554.4615    | 0.027       | 96325 | tfog_abells_cbudget_sdraft_u

19      | 0.26        | 221.386        | 224.6084    | 0.026       | 53248 | tfog_abells_cbudget_sdraft_u

19      | 0.26        | 279.875        | 290.3254    | 0.028       | 157457| tfog_abells_cbudget_sdraft_u

41      | 0.26        | 1066.287       | 1088.3358   | 0.029       | 293376| tfog_abells_cbudget_sdraft_u

41      | 0.26        | 1210.116       | 1237.2758   | 0.03        | 435200| tfog_abells_cbudget_sdraft_u

41      | 0.26        | 398.435        | 400.9538    | 0.067       | 37807 | tfog_abells_cbudget_sdraft_u

0       | 0.26        | 4.056          | 6.2838      | 0.026       | 35328 | tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.298          | 6.237       | 0.028       | 96325 | tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.302          | 3.3872      | 0.026       | 53248 | tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.315          | 9.2971      | 0.028       | 157457| tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.329          | 16.5067     | 0.029       | 293376| tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.309          | 26.6752     | 0.031       | 435200| tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.29           | 2.7046      | 0.025       | 37807 | tfog_acoast_cbudget_sdraft_u

27      | 0.26        | 322.04         | 324.2497    | 0.026       | 35328 | tfog_acoast_cstatistics_stask_u
14      | 0.26        | 210.885        | 216.6221    | 0.027       | 96325 | tfog_acoast_cstatistics_stask_u
14      | 0.26        | 155.572        | 158.7331    | 0.026       | 53248 | tfog_acoast_cstatistics_stask_u
14      | 0.26        | 225.276        | 234.1888    | 0.029       | 157457| tfog_acoast_cstatistics_stask_u
14      | 0.26        | 439.876        | 456.9728    | 0.03        | 293376| tfog_acoast_cstatistics_stask_u
27      | 0.26        | 844.434        | 872.5545    | 0.031       | 435200| tfog_acoast_cstatistics_stask_u
27      | 0.26        | 247.678        | 250.2337    | 0.027       | 37807 | tfog_acoast_cstatistics_stask_u
5       | 0.26        | 166.297        | 170.8314    | 0.027       | 35328 | tfog_abells_cbudget_sdraft_u

3       | 0.26        | 58.322         | 64.5416     | 0.029       | 96325 | tfog_abells_cbudget_sdraft_u

3       | 0.26        | 39.485         | 42.6297     | 0.026       | 53248 | tfog_abells_cbudget_sdraft_u

3       | 0.26        | 47.655         | 57.2107     | 0.027       | 157457| tfog_abells_cbudget_sdraft_u

5       | 0.26        | 131.486        | 150.8291    | 0.028       | 293376| tfog_abells_cbudget_sdraft_u

1       | 0.26        | 33.563         | 62.4738     | 0.031       | 435200| tfog_abells_cbudget_sdraft_u

1       | 0.26        | 13.555         | 16.082      | 0.026       | 37807 | tfog_abells_cbudget_sdraft_u

0       | 0.26        | 4.201          | 6.5649      | 0.026       | 35328 | tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.304          | 6.0437      | 0.026       | 96325 | tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.304          | 3.5014      | 0.027       | 53248 | tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.401          | 10.2203     | 0.029       | 157457| tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.346          | 16.8536     | 0.031       | 293376| tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.31           | 31.06       | 0.03        | 435200| tfog_acoast_cbudget_sdraft_u

0       | 0.26        | 0.318          | 2.9418      | 0.027       | 37807 | tfog_acoast_cbudget_sdraft_u

2       | 0.26        | 48.04          | 50.4467     | 0.026       | 35328 | tfog_acoast_cstatistics_stask_u
0       | 0.26        | 4.709          | 10.5219     | 0.026       | 96325 | tfog_acoast_cstatistics_stask_u
3       | 0.26        | 36.549         | 39.7205     | 0.026       | 53248 | tfog_acoast_cstatistics_stask_u
4       | 0.26        | 56.908         | 66.2372     | 0.027       | 157457| tfog_acoast_cstatistics_stask_u
3       | 0.26        | 79.805         | 99.0655     | 0.031       | 293376| tfog_acoast_cstatistics_stask_u
3       | 0.26        | 83.251         | 113.9562    | 0.031       | 435200| tfog_acoast_cstatistics_stask_u
3       | 0.26        | 30.987         | 33.6583     | 0.027       | 37807 | tfog_acoast_cstatistics_stask_u
