rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 79.125         | 8.1326      | 0.044       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 75.352         | 7.7331      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 6.369          | 0.7112      | 0.041       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.412          | 0.7116      | 0.042       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.571          | 0.7268      | 0.061       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.182          | 0.7852      | 0.044       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.961          | 0.8517      | 0.041       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.914          | 0.8479      | 0.043       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.5            | 0.7083      | 0.067       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.527          | 0.7091      | 0.042       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.477          | 0.7037      | 0.043       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.449          | 0.7184      | 0.042       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.513          | 0.7246      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.861          | 0.8562      | 0.041       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.809          | 0.8513      | 0.042       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.003          | 0.7722      | 0.042       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.441          | 0.7134      | 0.041       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.442          | 0.7139      | 0.042       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.393          | 0.7165      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.752          | 0.7488      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 8.418          | 0.9041      | 0.045       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 9.129          | 0.972       | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.689          | 0.7293      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.718          | 0.7285      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.739          | 0.7321      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.83           | 0.747       | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.658          | 0.7311      | 0.062       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 8.113          | 0.8698      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 8.093          | 0.8766      | 0.039       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.789          | 0.7389      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.683          | 0.7271      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
