rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | fsize | role
----------------------------------------------------------------------------
38      | 0.26        | 1277.951       | 1295.7194   | 0.026       | 35328 | postgres
38      | 0.26        | 1245.719       | 1252.8677   | 0.027       | 96325 | postgres
39      | 0.26        | 1114.32        | 1117.7812   | 0.027       | 53248 | postgres
68      | 0.26        | 2005.703       | 2016.4487   | 0.028       | 157457| postgres
47      | 0.26        | 2024.243       | 2045.2023   | 0.031       | 293376| postgres
49      | 0.26        | 2227.813       | 2257.8495   | 0.03        | 435200| postgres
67      | 0.26        | 1756.332       | 1758.882    | 0.027       | 37807 | postgres
8       | 0.26        | 225.574        | 230.1021    | 0.031       | 35328 | postgres
6       | 0.26        | 194.708        | 201.7922    | 0.031       | 96325 | postgres
8       | 0.26        | 222.977        | 226.4345    | 0.026       | 53248 | postgres
6       | 0.26        | 186.814        | 197.2337    | 0.027       | 157457| postgres
6       | 0.26        | 259.148        | 279.5911    | 0.029       | 293376| postgres
6       | 0.26        | 269.027        | 300.7274    | 0.049       | 435200| postgres
8       | 0.26        | 208.759        | 211.1824    | 0.026       | 37807 | postgres
8       | 0.26        | 261.764        | 266.243     | 0.026       | 35328 | postgres
5       | 0.26        | 204.799        | 211.8576    | 0.027       | 96325 | postgres
7       | 0.26        | 255.146        | 258.6889    | 0.027       | 53248 | postgres
7       | 0.26        | 285.869        | 296.3362    | 0.027       | 157457| postgres
8       | 0.26        | 333.18         | 352.7958    | 0.047       | 293376| postgres
7       | 0.26        | 301.301        | 331.7988    | 0.03        | 435200| postgres
7       | 0.26        | 178.634        | 181.1471    | 0.026       | 37807 | postgres
8       | 0.26        | 437.703        | 442.2765    | 0.029       | 35328 | postgres
15      | 0.26        | 481.89         | 489.1348    | 0.028       | 96325 | postgres
15      | 0.26        | 446.903        | 450.2361    | 0.026       | 53248 | postgres
15      | 0.26        | 615.427        | 626.0583    | 0.028       | 157457| postgres
19      | 0.26        | 869.405        | 891.5491    | 0.028       | 293376| postgres
15      | 0.26        | 739.165        | 769.4087    | 0.03        | 435200| postgres
13      | 0.26        | 454.464        | 456.907     | 0.027       | 37807 | postgres
69      | 0.26        | 1919.705       | 1924.0234   | 0.026       | 35328 | postgres
72      | 0.26        | 2123.456       | 2130.4803   | 0.026       | 96325 | postgres
67      | 0.26        | 2039.644       | 2042.949    | 0.027       | 53248 | postgres
69      | 0.26        | 2206.128       | 2216.8      | 0.028       | 157457| postgres
71      | 0.26        | 2945.489       | 2965.7762   | 0.029       | 293376| postgres
72      | 0.26        | 3089.597       | 3119.1511   | 0.031       | 435200| postgres
68      | 0.26        | 2071.248       | 2073.8752   | 0.025       | 37807 | postgres
