rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | fsize | role
----------------------------------------------------------------------------
5       | 0.52        | 1404.852       | 1419.4777   | 0.047       | 35328 | postgres
4       | 0.52        | 14156.401      | 14163.6128  | 0.053       | 96325 | postgres
4       | 0.52        | 1366.82        | 1370.6093   | 0.052       | 53248 | postgres
4       | 0.52        | 8801.345       | 8813.5056   | 0.053       | 157457| postgres
5       | 0.52        | 6823.214       | 6844.4993   | 0.058       | 293376| postgres
5       | 0.52        | 3725.445       | 3757.4453   | 0.056       | 435200| postgres
5       | 0.52        | 8623.395       | 8626.3745   | 0.053       | 37807 | postgres
7       | 0.52        | 1623.698       | 1628.5298   | 0.049       | 35328 | postgres
8       | 0.52        | 27835.748      | 27842.5176  | 0.052       | 96325 | postgres
7       | 0.52        | 2229.663       | 2233.3953   | 0.052       | 53248 | postgres
7       | 0.52        | 14999.406      | 15011.2886  | 0.055       | 157457| postgres
6       | 0.52        | 7341.071       | 7363.0855   | 0.057       | 293376| postgres
5       | 0.52        | 3565.211       | 3596.9796   | 0.075       | 435200| postgres
8       | 0.52        | 12872.049      | 12875.1233  | 0.052       | 37807 | postgres
