rows    | tot_costs   | exec_time(ms)  | exec_time_cs| ncond | role        | av_data   
----------------------------------------------------------------------------
929     | 4019.9      | 1570.112       | 157.3485    | 0     | postgres    |  278915701
35      | 2650.8      | 1653.979       | 165.5441    | 1     | postgres    |  278915701
54      | 2642.12     | 2632.369       | 263.3482    | 1     | postgres    |  278915701
1029    | 3257.31     | 1222.472       | 122.3952    | 1     | postgres    |  278915701
4       | 2103.49     | 2108.425       | 210.9819    | 2     | postgres    |  278915701
26      | 2157.79     | 2050.199       | 205.1424    | 2     | postgres    |  278915701
0       | 1694.58     | 1673.701       | 167.4888    | 3     | postgres    |  278915701
1       | 1683.95     | 1190.935       | 119.2127    | 4     | postgres    |  278915701
0       | 1717.55     | 1443.773       | 144.5033    | 4     | postgres    |  278915701
0       | 1725.05     | 1606.217       | 160.7523    | 5     | postgres    |  278915701
0       | 1717.65     | 2539.602       | 254.0853    | 5     | postgres    |  278915701
1       | 1707.31     | 1193.497       | 119.4945    | 6     | postgres    |  278915701
0       | 1693.7      | 2119.422       | 212.0652    | 6     | postgres    |  278915701
0       | 1627.88     | 2038.794       | 204.0143    | 7     | postgres    |  278915701
192     | 4019.9      | 1722.078       | 172.3038    | 0     | postgres    |  278915701
266     | 2634.52     | 1629.358       | 163.0549    | 1     | postgres    |  278915701
691     | 3105.08     | 2917.66        | 291.9014    | 1     | postgres    |  278915701
186     | 3264.72     | 1432.547       | 143.3608    | 1     | postgres    |  278915701
4       | 2303.13     | 1193.297       | 119.4396    | 2     | postgres    |  278915701
10      | 2133.08     | 1423.671       | 142.4816    | 2     | postgres    |  278915701
1       | 1685.13     | 1622.236       | 162.3382    | 3     | postgres    |  278915701
1       | 1693.12     | 2539.813       | 254.1075    | 3     | postgres    |  278915701
20      | 1825.98     | 1188.483       | 118.9686    | 3     | postgres    |  278915701
0       | 1834.17     | 2104.022       | 210.516     | 3     | postgres    |  278915701
0       | 1724.94     | 2128.315       | 212.9592    | 4     | postgres    |  278915701
0       | 1717.55     | 1701.096       | 170.2284    | 4     | postgres    |  278915701
1       | 1707.04     | 1647.308       | 164.8519    | 5     | postgres    |  278915701
0       | 1693.43     | 2891.729       | 289.3075    | 5     | postgres    |  278915701
0       | 1627.55     | 1428.265       | 142.9581    | 6     | postgres    |  278915701
0       | 1632.16     | 1256.59        | 125.778     | 7     | postgres    |  278915701
0       | 1725.75     | 1447.324       | 144.8569    | 7     | postgres    |  278915701
74      | 2639.73     | 1618.35        | 161.9541    | 1     | postgres    |  278915701
46      | 2634.52     | 2629.675       | 263.0673    | 1     | postgres    |  278915701
1420    | 3166.78     | 1238.231       | 123.9575    | 1     | postgres    |  278915701
56      | 3264.72     | 2144.504       | 214.555     | 1     | postgres    |  278915701
7       | 2298.55     | 2026.29        | 202.7459    | 2     | postgres    |  278915701
7       | 2133.08     | 1732.308       | 173.3476    | 2     | postgres    |  278915701
3       | 1726.19     | 1635.639       | 163.6877    | 3     | postgres    |  278915701
1       | 1718.78     | 2906.154       | 290.7409    | 3     | postgres    |  278915701
2       | 1820.67     | 1349.734       | 135.0913    | 3     | postgres    |  278915701
2       | 1794.24     | 1189.38        | 119.0603    | 3     | postgres    |  278915701
2       | 1706.92     | 1442.304       | 144.3477    | 4     | postgres    |  278915701
0       | 1693.33     | 1617.171       | 161.8419    | 4     | postgres    |  278915701
0       | 1707.04     | 2538.972       | 254.0193    | 5     | postgres    |  278915701
1       | 1631.82     | 1187.063       | 118.8367    | 6     | postgres    |  278915701
0       | 1627.55     | 2106.421       | 210.7658    | 6     | postgres    |  278915701
0       | 1694.11     | 2037.187       | 203.8421    | 7     | postgres    |  278915701
0       | 1725.75     | 1704.199       | 170.5407    | 7     | postgres    |  278915701
265     | 2641.27     | 1687.426       | 168.9008    | 1     | postgres    |  278915701
148     | 2664.6      | 2878.231       | 287.9399    | 1     | postgres    |  278915701
179     | 3151.05     | 1366.999       | 136.8045    | 1     | postgres    |  278915701
77      | 3232.57     | 1201.986       | 120.3096    | 1     | postgres    |  278915701
8       | 2313.15     | 1425.61        | 142.6709    | 2     | postgres    |  278915701
12      | 2148.79     | 1655.706       | 165.6832    | 2     | postgres    |  278915701
0       | 1726.19     | 2544.25        | 254.5434    | 3     | postgres    |  278915701
7       | 1694.52     | 1211.937       | 121.3154    | 3     | postgres    |  278915701
0       | 1820.67     | 2202.897       | 220.4026    | 3     | postgres    |  278915701
13      | 1786.3      | 2104.692       | 210.606     | 3     | postgres    |  278915701
1       | 1706.92     | 1758.11        | 175.9421    | 4     | postgres    |  278915701
3       | 1631.57     | 1662.809       | 166.4075    | 5     | postgres    |  278915701
3       | 1627.29     | 2882.015       | 288.3267    | 5     | postgres    |  278915701
0       | 1693.75     | 1365.734       | 136.6992    | 6     | postgres    |  278915701
0       | 1725.38     | 1191.388       | 119.2621    | 6     | postgres    |  278915701
0       | 1684.67     | 1440.867       | 144.2093    | 7     | postgres    |  278915701
0       | 1692.64     | 1614.82        | 161.616     | 7     | postgres    |  278915701
66      | 2641.27     | 2530.217       | 253.1309    | 1     | postgres    |  278915701
387     | 2651.62     | 1190.471       | 119.1685    | 1     | postgres    |  278915701
