rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral;
1       | 0.26        | 7.467          | 0.8106      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.218          | 0.7828      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.219          | 0.7873      | 0.04        | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.515          | 0.8142      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.147          | 0.7766      | 0.041       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.226          | 0.7874      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.358          | 0.8007      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.228          | 0.784       | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.185          | 0.7829      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.43           | 0.8078      | 0.04        | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.148          | 0.7786      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.227          | 0.7902      | 0.066       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.374          | 0.8025      | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.204          | 0.782       | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.184          | 0.7827      | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.365          | 0.8009      | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.221          | 0.7858      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.3            | 0.7942      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.415          | 0.8097      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.068          | 0.7708      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.236          | 0.7882      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.732          | 0.736       | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.224          | 0.7839      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.271          | 0.7912      | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.371          | 0.8061      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.188          | 0.7824      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.199          | 0.7843      | 0.04        | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.406          | 0.8055      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.18           | 0.7815      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.197          | 0.7842      | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.347          | 0.799       | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.198          | 0.781       | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.286          | 0.797       | 0.046       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.375          | 0.8015      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.171          | 0.7783      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.326          | 0.7991      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
