rows    | tot_costs   | exec_time(ms)  | exec_time_cs| ncond | role        | av_data   
----------------------------------------------------------------------------
? SET ROLE tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral;
0       | 1927.87     | 77.868         | 8.9096      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 14.475         | 2.0854      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
3       | 1927.87     | 14.065         | 2.0491      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 14.088         | 2.0736      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
3       | 1927.87     | 14.754         | 2.1219      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 14.205         | 2.0507      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.61           | 1.6171      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
3       | 1927.87     | 9.527          | 1.5711      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.408          | 1.5686      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.252          | 1.5555      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.609          | 1.5964      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
? SET ROLE tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral;
0       | 1927.87     | 9.225          | 1.5452      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.344          | 1.5567      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
3       | 1927.87     | 9.256          | 1.5709      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.635          | 1.5991      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
3       | 1927.87     | 9.197          | 1.5444      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.497          | 1.6117      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.227          | 1.5489      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
3       | 1927.87     | 9.676          | 1.5844      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.657          | 1.6019      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.536          | 1.5762      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.307          | 1.5591      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
? SET ROLE tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral;
0       | 1927.87     | 9.591          | 1.5754      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
0       | 1927.87     | 9.211          | 1.5527      | 0     | tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral|      35328
